subject_id,session,condition,folder_name,eeg_path,info_json_path,n_samples,duration_sec,n_channels_csv
202552,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202552\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202552\Session01\Test_camsiseS01R000\info.json,11621,45.39,32
202553,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202553\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202553\Session01\Test_kartonS01R000\info.json,11458,44.76,32
202553,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202553\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202553\Session01\Test_camsiseS01R000\info.json,11625,45.41,32
202554,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202554\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202554\Session01\Test_kartonS01R000\info.json,11456,44.75,32
202554,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202554\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202554\Session01\Test_camsiseS01R000\info.json,11603,45.32,32
202555,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202555\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202555\Session01\Test_kartonS01R000\info.json,11458,44.76,32
202555,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202555\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202555\Session01\Test_camsiseS01R000\info.json,11616,45.38,32
202556,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202556\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202556\Session01\Test_kartonS01R000\info.json,11474,44.82,32
202556,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202556\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202556\Session01\Test_camsiseS01R000\info.json,11618,45.38,32
202557,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202557\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202557\Session01\Test_kartonS01R000\info.json,11459,44.76,32
